iter	Logloss
0	0.6788821702
1	0.6684940135
2	0.6585279447
3	0.6518842194
4	0.6446713002
5	0.6374465475
6	0.6316082432
7	0.62694967
8	0.6224036634
9	0.6179327629
10	0.6158108223
11	0.6129424435
12	0.6108425059
13	0.6086969352
14	0.6070530701
15	0.6050336376
16	0.6030661618
17	0.6011844423
18	0.6002636811
19	0.5985489256
20	0.5970536085
21	0.5946645625
22	0.5933794018
23	0.5930202905
24	0.5920993814
25	0.5908066029
26	0.5891819303
27	0.588687103
28	0.587276026
29	0.5858280801
30	0.5844115301
31	0.5832746956
32	0.5813396881
33	0.5801966411
34	0.5786410838
35	0.5771445834
36	0.5756553679
37	0.5746994759
38	0.5737811923
39	0.5728461199
40	0.5711177558
41	0.5702467325
42	0.5694293669
43	0.5672601661
44	0.5664457959
45	0.5658876591
46	0.5652979045
47	0.5635196915
48	0.5628811605
49	0.5617027607
50	0.5609468927
51	0.5604957755
52	0.5597805113
53	0.5590969388
54	0.5587456673
55	0.5581812069
56	0.557672734
57	0.5571653705
58	0.5560954326
59	0.5553755829
60	0.5545468275
61	0.5542019535
62	0.5540592482
63	0.5531868567
64	0.5530655258
65	0.5523866128
66	0.5522104038
67	0.5520166664
68	0.5511690883
69	0.5505479748
70	0.5504102618
71	0.5497962484
72	0.5493634363
73	0.5486689918
74	0.5484585025
75	0.5482569253
76	0.5477960085
77	0.5461628675
78	0.5452100448
79	0.544839026
80	0.5438238552
81	0.5437076645
82	0.5425374743
83	0.5411130106
84	0.5407643646
85	0.5406109722
86	0.5399190053
87	0.5392319197
88	0.5380102535
89	0.5374486036
90	0.5364046625
91	0.5360536498
92	0.5340318876
93	0.5327350783
94	0.5312080325
95	0.5298808258
96	0.5296120563
97	0.5287967986
98	0.5279436365
99	0.5267795479
