iter	Passed	Remaining
0	3	382
1	7	377
2	10	343
3	12	305
4	15	296
5	17	279
6	21	281
7	24	282
8	26	268
9	31	286
10	36	291
11	39	289
12	41	279
13	43	267
14	45	260
15	49	258
16	51	252
17	53	245
18	56	239
19	58	233
20	60	228
21	62	222
22	66	222
23	70	224
24	73	219
25	75	216
26	80	216
27	85	218
28	91	224
29	94	221
30	96	215
31	98	209
32	101	205
33	103	200
34	106	197
35	111	197
36	115	197
37	120	196
38	123	193
39	125	188
40	127	183
41	129	178
42	132	175
43	135	172
44	137	168
45	139	163
46	142	160
47	145	157
48	149	155
49	152	152
50	154	148
51	158	146
52	160	142
53	164	139
54	168	137
55	170	133
56	172	130
57	176	127
58	178	124
59	183	122
60	187	120
61	192	118
62	196	115
63	199	112
64	201	108
65	204	105
66	208	102
67	211	99
68	213	95
69	216	92
70	218	89
71	220	85
72	222	82
73	224	78
74	226	75
75	228	72
76	231	69
77	233	65
78	239	63
79	240	60
80	242	56
81	244	53
82	249	51
83	252	48
84	255	45
85	259	42
86	262	39
87	264	36
88	266	32
89	270	30
90	273	27
91	277	24
92	280	21
93	283	18
94	285	15
95	289	12
96	292	9
97	297	6
98	300	3
99	302	0
